DATE,TIME,CURRENCY,IMPACT,NEWS,,,ACTUAL,FORECAST,PREVIOUS
4/7/2023,13:30,USD,H,Average Hourly Earnings m/m,,,0.30%,0.30%,0.20%
4/7/2023,13:30,USD,H,Non-Farm Employment Change,,,236K,228K,326K
4/7/2023,13:30,USD,H,Unemployment Rate,,,3.50%,3.60%,3.60%
4/12/2023,13:30,USD,H,CPI m/m,,,0.10%,0.20%,0.40%
4/12/2023,13:30,USD,H,CPI y/y,,,5.00%,5.10%,6.00%
4/12/2023,13:30,USD,H,Core CPI m/m,,,0.40%,0.40%,0.50%
4/12/2023,19:00,USD,H,FOMC Meeting Minutes,,,,,
4/13/2023,13:30,USD,H,Core PPI m/m,,,-0.10%,0.20%,0.20%
4/13/2023,13:30,USD,H,PPI m/m,,,-0.50%,0.00%,0.00%
4/13/2023,13:30,USD,H,Unemployment Claims,,,239K,233K,228K
4/14/2023,13:30,USD,H,Core Retail Sales m/m,,,-0.80%,-0.40%,0.00%
4/14/2023,13:30,USD,H,Retail Sales m/m,,,-1.00%,-0.40%,-0.20%
4/14/2023,15:00,USD,H,Prelim UoM Consumer Sentiment,,,63.5,62,62
4/17/2023,13:30,USD,H,Empire State Manufacturing Index,,,10.8,-17.7,-24.6
4/20/2023,13:30,USD,H,Unemployment Claims,,,245K,240K,240K
4/21/2023,14:45,USD,H,Flash Manufacturing PMI,,,50.4,49,49.2
4/21/2023,14:45,USD,H,Flash Services PMI,,,53.7,51.5,52.6
4/25/2023,15:00,USD,H,CB Consumer Confidence,,,101.3,104.1,104
4/27/2023,13:30,USD,H,Advance GDP q/q,,,1.10%,2.00%,2.60%
4/27/2023,13:30,USD,H,Unemployment Claims,,,230K,247K,246K
4/28/2023,13:30,USD,H,Core PCE Price Index m/m,,,0.30%,0.30%,0.30%
4/28/2023,13:30,USD,H,Employment Cost Index q/q,,,1.20%,1.10%,1.00%
5/1/2023,15:00,USD,H,ISM Manufacturing PMI,,,47.1,46.8,46.3
5/2/2023,15:00,USD,H,JOLTS Job Openings,,,9.59M,9.74M,9.97M
5/3/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,296K,148K,142K
5/3/2023,15:00,USD,H,ISM Services PMI,,,51.9,51.8,51.2
5/3/2023,19:00,USD,H,FOMC Statement,,,,,
5/3/2023,19:00,USD,H,Federal Funds Rate,,,5.25%,5.25%,5.00%
5/3/2023,19:30,USD,H,FOMC Press Conference,,,,,
5/4/2023,13:30,USD,H,Unemployment Claims,,,242K,239K,229K
5/5/2023,13:30,USD,H,Average Hourly Earnings m/m,,,0.50%,0.30%,0.30%
5/5/2023,13:30,USD,H,Non-Farm Employment Change,,,253K,181K,165K
5/5/2023,13:30,USD,H,Unemployment Rate,,,3.40%,3.60%,3.50%
5/10/2023,13:30,USD,H,CPI m/m,,,0.40%,0.40%,0.10%
5/10/2023,13:30,USD,H,CPI y/y,,,4.90%,5.00%,5.00%
5/10/2023,13:30,USD,H,Core CPI m/m,,,0.40%,0.30%,0.40%
5/11/2023,13:30,USD,H,Core PPI m/m,,,0.20%,0.20%,0.00%
5/11/2023,13:30,USD,H,PPI m/m,,,0.20%,0.30%,-0.40%
5/11/2023,13:30,USD,H,Unemployment Claims,,,264K,245K,242K
5/12/2023,15:00,USD,H,Prelim UoM Consumer Sentiment,,,57.7,63,63.5
5/15/2023,13:30,USD,H,Empire State Manufacturing Index,,,-31.8,-3.7,10.8
5/16/2023,13:30,USD,H,Core Retail Sales m/m,,,0.40%,0.50%,-0.50%
5/16/2023,13:30,USD,H,Retail Sales m/m,,,0.40%,0.80%,-0.70%
5/18/2023,13:30,USD,H,Unemployment Claims,,,242K,253K,264K
5/19/2023,16:00,USD,H,Fed Chair Powell Speaks,,,,,
5/23/2023,14:45,USD,H,Flash Manufacturing PMI,,,48.5,50,50.2
5/23/2023,14:45,USD,H,Flash Services PMI,,,55.1,52.6,53.6
5/24/2023,19:00,USD,H,FOMC Meeting Minutes,,,,,
5/25/2023,13:30,USD,H,Prelim GDP q/q,,,1.30%,1.10%,1.10%
5/25/2023,13:30,USD,H,Unemployment Claims,,,229K,249K,225K
5/26/2023,13:30,USD,H,Core PCE Price Index m/m,,,0.40%,0.30%,0.30%
5/30/2023,15:00,USD,H,CB Consumer Confidence,,,,99.1,101.3
5/31/2023,15:00,USD,H,JOLTS Job Openings,,,,9.41M,9.59M
6/1/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,278K,173K,291K
6/1/2023,13:30,USD,H,Unemployment Claims,,,232K,236K,230K
6/1/2023,15:00,USD,H,ISM Manufacturing PMI,,,46.9,47,47.1
6/2/2023,13:30,USD,H,Average Hourly Earnings m/m,,,0.30%,0.30%,0.40%
6/2/2023,13:30,USD,H,Non-Farm Employment Change,,,339K,193K,294K
6/2/2023,13:30,USD,H,Unemployment Rate,,,3.70%,3.50%,3.40%
6/5/2023,15:00,USD,H,ISM Services PMI,,,50.3,52.6,51.9
6/8/2023,13:30,USD,H,Unemployment Claims,,,261K,236K,233K
6/13/2023,13:30,USD,H,CPI m/m,,,0.10%,0.20%,0.40%
6/13/2023,13:30,USD,H,CPI y/y,,,4.00%,4.10%,4.90%
6/13/2023,13:30,USD,H,Core CPI m/m,,,0.40%,0.40%,0.40%
6/14/2023,13:30,USD,H,Core PPI m/m,,,0.20%,0.20%,0.20%
6/14/2023,13:30,USD,H,PPI m/m,,,-0.30%,-0.10%,0.20%
6/14/2023,19:00,USD,H,FOMC Economic Projections,,,,,
6/14/2023,19:00,USD,H,FOMC Statement,,,,,
6/14/2023,19:00,USD,H,Federal Funds Rate,,,5.25%,5.25%,5.25%
6/14/2023,19:30,USD,H,FOMC Press Conference,,,,,
6/15/2023,13:30,USD,H,Core Retail Sales m/m,,,0.10%,0.10%,0.40%
6/15/2023,13:30,USD,H,Empire State Manufacturing Index,,,6.6,-15,-31.8
6/15/2023,13:30,USD,H,Retail Sales m/m,,,0.30%,-0.20%,0.40%
6/15/2023,13:30,USD,H,Unemployment Claims,,,262K,246K,262K
6/16/2023,15:00,USD,H,Prelim UoM Consumer Sentiment,,,63.9,60.1,59.2
6/16/2023,19:00,USD,H,Treasury Currency Report,,,,,
6/21/2023,15:00,USD,H,Fed Chair Powell Testifies,,,,,
6/22/2023,13:30,USD,H,Unemployment Claims,,,264K,261K,264K
6/22/2023,15:00,USD,H,Fed Chair Powell Testifies,,,,,
6/23/2023,14:45,USD,H,Flash Manufacturing PMI,,,46.3,48.6,48.4
6/23/2023,14:45,USD,H,Flash Services PMI,,,54.1,53.9,54.9
6/27/2023,15:00,USD,H,CB Consumer Confidence,,,109.7,103.9,102.5
6/28/2023,14:30,USD,H,Fed Chair Powell Speaks,,,,,
6/29/2023,7:30,USD,H,Fed Chair Powell Speaks,,,,,
6/29/2023,13:30,USD,H,Final GDP q/q,,,2.00%,1.40%,1.30%
6/29/2023,13:32,USD,H,Unemployment Claims,,,239K,264K,265K
6/30/2023,13:30,USD,H,Core PCE Price Index m/m,,,0.30%,0.30%,0.40%
7/3/2023,15:00,USD,H,ISM Manufacturing PMI,,,46,47.2,46.9
7/5/2023,19:00,USD,H,FOMC Meeting Minutes,,,,,
7/6/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,497K,226K,267K
7/6/2023,13:30,USD,H,Unemployment Claims,,,248K,247K,236K
7/6/2023,15:00,USD,H,ISM Services PMI,,,53.9,51.3,50.3
7/6/2023,15:00,USD,H,JOLTS Job Openings,,,9.82M,9.93M,10.32M
7/7/2023,13:30,USD,H,Average Hourly Earnings m/m,,,0.40%,0.30%,0.40%
7/7/2023,13:30,USD,H,Non-Farm Employment Change,,,209K,224K,306K
7/7/2023,13:30,USD,H,Unemployment Rate,,,3.60%,3.60%,3.70%
7/12/2023,13:30,USD,H,CPI m/m,,,0.20%,0.30%,0.10%
7/12/2023,13:30,USD,H,CPI y/y,,,3.00%,3.10%,4.00%
7/12/2023,13:30,USD,H,Core CPI m/m,,,0.20%,0.30%,0.40%
7/13/2023,13:30,USD,H,Core PPI m/m,,,0.10%,0.20%,0.10%
7/13/2023,13:30,USD,H,PPI m/m,,,0.10%,0.20%,-0.40%
7/13/2023,13:30,USD,H,Unemployment Claims,,,237K,251K,249K
7/14/2023,15:00,USD,H,Prelim UoM Consumer Sentiment,,,72.6,65.5,64.4
7/17/2023,13:30,USD,H,Empire State Manufacturing Index,,,1.1,-3.5,6.6
7/18/2023,13:30,USD,H,Core Retail Sales m/m,,,0.20%,0.40%,0.30%
7/18/2023,13:30,USD,H,Retail Sales m/m,,,0.20%,0.50%,0.50%
7/19/2023,13:30,USD,H,Housing Starts,,,1.43M,1.48M,1.56M
7/20/2023,13:30,USD,H,Unemployment Claims,,,228K,239K,237K
7/24/2023,14:45,USD,H,Flash Manufacturing PMI,,,49,46.1,46.3
7/24/2023,14:45,USD,H,Flash Services PMI,,,52.4,54,54.4
7/25/2023,15:00,USD,H,CB Consumer Confidence,,,117,112.1,110.1
7/26/2023,19:00,USD,H,FOMC Statement,,,,,
7/26/2023,19:00,USD,H,Federal Funds Rate,,,5.50%,5.50%,5.25%
7/26/2023,19:30,USD,H,FOMC Press Conference,,,,,
7/27/2023,13:30,USD,H,Advance GDP q/q,,,2.40%,1.80%,2.00%
7/27/2023,13:30,USD,H,Unemployment Claims,,,221K,234K,228K
7/28/2023,13:30,USD,H,Core PCE Price Index m/m,,,0.20%,0.20%,0.30%
7/28/2023,13:30,USD,H,Employment Cost Index q/q,,,1.00%,1.10%,1.20%
7/28/2023,15:00,USD,H,Revised UoM Consumer Sentiment,,,71.6,72.6,72.6
8/1/2023,15:00,USD,H,ISM Manufacturing PMI,,,46.4,46.9,46
8/1/2023,15:00,USD,H,JOLTS Job Openings,,,9.58M,9.61M,9.62M
8/2/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,324K,191K,455K
8/3/2023,13:30,USD,H,Unemployment Claims,,,227K,226K,221K
8/3/2023,15:00,USD,H,ISM Services PMI,,,52.7,53.1,53.9
8/4/2023,13:30,USD,H,Average Hourly Earnings m/m,,,0.40%,0.30%,0.40%
8/4/2023,13:30,USD,H,Non-Farm Employment Change,,,187K,205K,185K
8/4/2023,13:30,USD,H,Unemployment Rate,,,3.50%,3.60%,3.60%
8/10/2023,12:30,USD,H,Core CPI m/m,,,,0.20%,0.20%
8/10/2023,12:30,USD,H,CPI m/m,,,,0.20%,0.20%
8/10/2023,12:30,USD,H,CPI y/y,,,,3.30%,3.00%
8/10/2023,12:30,USD,H,Unemployment Claims,,,,231K,227K
8/11/2023,12:30,USD,H,Core PPI m/m,,,,0.20%,0.10%
8/11/2023,12:30,USD,H,PPI m/m,,,,0.20%,0.10%
8/11/2023,14:00,USD,H,Prelim UoM Consumer Sentiment,,,,71.4,72.6
8/15/2023,12:30,USD,H,Core Retail Sales m/m,,,,0.40%,0.20%
8/15/2023,12:30,USD,H,Empire State Manufacturing Index,,,,-0.9,1.1
8/15/2023,12:30,USD,H,Retail Sales m/m,,,,0.40%,0.20%
8/16/2023,18:00,USD,H,FOMC Meeting Minutes,,,,,
8/17/2023,12:30,USD,H,Unemployment Claims,,,,240K,248K
8/23/2023,13:45,USD,H,Flash Manufacturing PMI,,,,48.9,49
8/23/2023,13:45,USD,H,Flash Services PMI,,,,52.1,52.4
8/24/2023,12:30,USD,H,Unemployment Claims,,,,239K,239K
8/25/2023,14:00,USD,H,Revised UoM Consumer Sentiment,,,,71.2,71.2
8/25/2023,14:05,USD,H,Fed Chair Powell Speaks,,,,,
8/29/2023,13:00,USD,H,S&P/CS Composite-20 HPI y/y,,,,-1.50%,-1.70%
8/29/2023,14:00,USD,H,CB Consumer Confidence,,,,116,117
8/29/2023,14:00,USD,H,JOLTS Job Openings,,,,9.49M,9.58M
8/30/2023,12:15,USD,H,ADP Non-Farm Employment Change,,,,194K,324K
8/30/2023,12:30,USD,H,Prelim GDP q/q,,,,2.40%,2.40%
8/31/2023,12:30,USD,H,Core PCE Price Index m/m,,,,0.20%,0.20%
8/31/2023,12:30,USD,H,Unemployment Claims,,,,236K,230K
9/1/2023,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.40%
9/1/2023,12:30,USD,H,Non-Farm Employment Change,,,,169K,187K
9/1/2023,12:30,USD,H,Unemployment Rate,,,,3.50%,3.50%
9/1/2023,14:00,USD,H,ISM Manufacturing PMI,,,,46.9,46.4
9/6/2023,14:00,USD,H,ISM Services PMI,,,,52.5,52.7
9/7/2023,12:30,USD,H,Unemployment Claims,,,,232K,228K
9/13/2023,12:30,USD,H,Core CPI m/m,,,,0.20%,0.20%
9/13/2023,12:30,USD,H,CPI m/m,,,,0.60%,0.20%
9/13/2023,12:30,USD,H,CPI y/y,,,,3.60%,3.20%
9/14/2023,12:30,USD,H,Core PPI m/m,,,,0.20%,0.30%
9/14/2023,12:30,USD,H,Core Retail Sales m/m,,,,0.40%,1.00%
9/14/2023,12:30,USD,H,PPI m/m,,,,0.40%,0.30%
9/14/2023,12:30,USD,H,Retail Sales m/m,,,,0.10%,0.70%
9/14/2023,12:30,USD,H,Unemployment Claims,,,,226K,216K
9/15/2023,12:30,USD,H,Empire State Manufacturing Index,,,,-9.9,-19
9/15/2023,14:00,USD,H,Prelim UoM Consumer Sentiment,,,,69,71.2
9/20/2023,18:00,USD,H,Federal Funds Rate,,,,5.50%,5.50%
9/20/2023,18:00,USD,H,FOMC Economic Projections,,,,,
9/20/2023,18:00,USD,H,FOMC Statement,,,,,
9/20/2023,18:30,USD,H,FOMC Press Conference,,,,,
9/21/2023,12:30,USD,H,Unemployment Claims,,,,224K,220K
9/22/2023,13:45,USD,H,Flash Manufacturing PMI,,,,48.2,47
9/22/2023,13:45,USD,H,Flash Services PMI,,,,50.7,51
9/26/2023,14:00,USD,H,CB Consumer Confidence,,,,105.5,106.1
9/28/2023,12:30,USD,H,Final GDP q/q,,,,2.20%,2.10%
9/28/2023,12:30,USD,H,Unemployment Claims,,,,214K,201K
9/28/2023,20:00,USD,H,Fed Chair Powell Speaks,,,,,
9/29/2023,12:30,USD,H,Core PCE Price Index m/m,,,,0.20%,0.20%
9/29/2023,14:00,USD,H,Revised UoM Consumer Sentiment,,,,67.7,67.7
10/2/2023,14:00,USD,H,ISM Manufacturing PMI,,,,47.8,47.6
10/2/2023,15:00,USD,H,Fed Chair Powell Speaks,,,,,
10/3/2023,14:00,USD,H,JOLTS Job Openings,,,,8.81M,8.83M
10/4/2023,12:15,USD,H,ADP Non-Farm Employment Change,,,,154K,177K
10/4/2023,14:00,USD,H,ISM Services PMI,,,,53.5,54.5
10/5/2023,12:30,USD,H,Unemployment Claims,,,,211K,204K
10/6/2023,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.20%
10/6/2023,12:30,USD,H,Non-Farm Employment Change,,,,171K,187K
10/6/2023,12:30,USD,H,Unemployment Rate,,,,3.70%,3.80%
10/11/2023,12:30,USD,H,Core PPI m/m,,,,0.20%,0.20%
10/11/2023,12:30,USD,H,PPI m/m,,,,0.30%,0.70%
10/11/2023,18:00,USD,H,FOMC Meeting Minutes,,,,,
10/12/2023,12:30,USD,H,Core CPI m/m,,,,0.30%,0.30%
10/12/2023,12:30,USD,H,CPI m/m,,,,0.30%,0.60%
10/12/2023,12:30,USD,H,CPI y/y,,,,3.60%,3.70%
10/12/2023,12:30,USD,H,Unemployment Claims,,,,211K,207K
10/13/2023,14:00,USD,H,Prelim UoM Consumer Sentiment,,,,67.2,67.7
10/16/2023,12:30,USD,H,Empire State Manufacturing Index,,,,-6.4,1.9
10/17/2023,12:30,USD,H,Core Retail Sales m/m,,,,0.20%,0.60%
10/17/2023,12:30,USD,H,Retail Sales m/m,,,,0.30%,0.60%
10/19/2023,12:30,USD,H,Unemployment Claims,,,,210K,209K
10/19/2023,16:00,USD,H,Fed Chair Powell Speaks,,,,,
10/24/2023,13:45,USD,H,Flash Manufacturing PMI,,,,49.5,48.9
10/24/2023,13:45,USD,H,Flash Services PMI,,,,49.9,50.2
10/25/2023,20:35,USD,H,Fed Chair Powell Speaks,,,,,
10/26/2023,12:30,USD,H,Advance GDP q/q,,,,4.50%,2.40%
10/26/2023,12:30,USD,H,Unemployment Claims,,,,208K,198K
10/27/2023,12:30,USD,H,Core PCE Price Index m/m,,,,0.30%,0.10%
10/27/2023,14:00,USD,H,Revised UoM Consumer Sentiment,,,,63,63
10/31/2023,12:30,USD,H,Employment Cost Index q/q,,,,1.00%,1.00%
10/31/2023,14:00,USD,H,CB Consumer Confidence,,,,100.5,103
11/1/2023,12:15,USD,H,ADP Non-Farm Employment Change,,,,149K,89K
11/1/2023,14:00,USD,H,ISM Manufacturing PMI,,,,49,49
11/1/2023,14:00,USD,H,JOLTS Job Openings,,,,9.34M,9.61M
11/1/2023,18:00,USD,H,Federal Funds Rate,,,,5.50%,5.50%
11/1/2023,18:00,USD,H,FOMC Statement,,,,,
11/1/2023,18:30,USD,H,FOMC Press Conference,,,,,
11/2/2023,12:30,USD,H,Unemployment Claims,,,,210K,210K
11/3/2023,12:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.20%
11/3/2023,12:30,USD,H,Non-Farm Employment Change,,,,178K,336K
11/3/2023,12:30,USD,H,Unemployment Rate,,,,3.80%,3.80%
11/3/2023,14:00,USD,H,ISM Services PMI,,,,53,53.6
11/7/2023,21:00,USD,H,Treasury Currency Report,,,,,
11/8/2023,14:15,USD,H,Fed Chair Powell Speaks,,,,,
11/9/2023,13:30,USD,H,Unemployment Claims,,,,218K,217K
11/9/2023,19:00,USD,H,Fed Chair Powell Speaks,,,,,
11/10/2023,15:00,USD,H,Prelim UoM Consumer Sentiment,,,,63.7,63
11/14/2023,13:30,USD,H,Core CPI m/m,,,,0.30%,0.30%
11/14/2023,13:30,USD,H,CPI m/m,,,,0.10%,0.40%
11/14/2023,13:30,USD,H,CPI y/y,,,,3.30%,3.70%
11/15/2023,13:30,USD,H,Core PPI m/m,,,,0.30%,0.30%
11/15/2023,13:30,USD,H,Core Retail Sales m/m,,,,-0.10%,0.60%
11/15/2023,13:30,USD,H,Empire State Manufacturing Index,,,,-3.3,-4.6
11/15/2023,13:30,USD,H,PPI m/m,,,,0.10%,0.50%
11/15/2023,13:30,USD,H,Retail Sales m/m,,,,-0.30%,0.70%
11/16/2023,13:30,USD,H,Unemployment Claims,,,,221K,217K
11/21/2023,19:00,USD,H,FOMC Meeting Minutes,,,,,
11/22/2023,13:30,USD,H,Unemployment Claims,,,,226K,231K
11/22/2023,15:00,USD,H,Revised UoM Consumer Sentiment,,,,61.1,60.4
11/24/2023,14:45,USD,H,Flash Manufacturing PMI,,,,49.9,50
11/24/2023,14:45,USD,H,Flash Services PMI,,,,50.4,50.9
11/28/2023,15:00,USD,H,CB Consumer Confidence,,,,101,102.6
11/29/2023,13:30,USD,H,Prelim GDP q/q,,,,5.00%,4.90%
11/30/2023,13:30,USD,H,Core PCE Price Index m/m,,,,0.20%,0.30%
11/30/2023,13:30,USD,H,Unemployment Claims,,,,219K,209K
12/1/2023,15:00,USD,H,ISM Manufacturing PMI,,,,47.9,46.7
12/1/2023,16:00,USD,H,Fed Chair Powell Speaks,,,,,
12/1/2023,19:00,USD,H,Fed Chair Powell Speaks,,,,,
12/5/2023,15:00,USD,H,ISM Services PMI,,,,52.2,51.8
12/5/2023,15:00,USD,H,JOLTS Job Openings,,,,9.31M,9.55M
12/6/2023,13:15,USD,H,ADP Non-Farm Employment Change,,,,131K,113K
12/7/2023,13:30,USD,H,Unemployment Claims,,,,221K,218K
12/8/2023,13:30,USD,H,Average Hourly Earnings m/m,,,,0.30%,0.20%
12/8/2023,13:30,USD,H,Non-Farm Employment Change,,,,184K,150K
12/8/2023,13:30,USD,H,Unemployment Rate,,,,3.90%,3.90%
12/8/2023,15:00,USD,H,Prelim UoM Consumer Sentiment,,,,62,60.4
12/12/2023,13:30,USD,H,Core CPI m/m,,,,0.30%,0.20%
12/12/2023,13:30,USD,H,CPI m/m,,,,0.00%,0.00%
12/12/2023,13:30,USD,H,CPI y/y,,,,3.10%,3.20%
12/13/2023,13:30,USD,H,Core PPI m/m,,,,0.20%,0.00%
12/13/2023,13:30,USD,H,PPI m/m,,,,0.00%,-0.50%
12/13/2023,19:00,USD,H,Federal Funds Rate,,,,5.50%,5.50%
12/13/2023,19:00,USD,H,FOMC Economic Projections,,,,,
12/13/2023,19:00,USD,H,FOMC Statement,,,,,
12/13/2023,19:30,USD,H,FOMC Press Conference,,,,,
12/14/2023,13:30,USD,H,Core Retail Sales m/m,,,,-0.10%,0.10%
12/14/2023,13:30,USD,H,Retail Sales m/m,,,,-0.10%,-0.10%
12/14/2023,13:30,USD,H,Unemployment Claims,,,,219K,220K
12/15/2023,13:30,USD,H,Empire State Manufacturing Index,,,,2,9.1
